uid,lat,lon,timestamp_utc,missing_time_flag,flood_depth_cm
94941,-6.16978,106.76866,2020-01-01T00:03:02,0,30.0
95062,-6.23449,106.891,2020-01-01T01:14:53,0,51.0
95064,-6.16859,106.86092,2020-01-01T01:18:03,0,15.0
95065,-6.19933,106.73835,2020-01-01T01:25:02,0,60.0
95067,-6.19439,106.74001,2020-01-01T01:43:07,0,36.0
95068,-6.16777,106.72181,2020-01-01T02:05:36,0,79.0
95097,-6.16204,106.76476,2020-01-01T02:11:42,0,116.0
95531,-6.25791,106.81001,2020-01-01T03:09:26,0,69.0
95536,-6.24017,106.89524,2020-01-01T03:10:12,0,195.0
95567,-6.16994,106.95063,2020-01-01T03:19:31,0,44.0
95592,-6.1626,106.76545,2020-01-01T03:40:44,0,101.0
95626,-6.26131,106.77164,2020-01-01T03:52:15,0,190.0
96339,-6.1597,106.72111,2020-01-01T05:17:04,0,100.0
96570,-6.18715,106.74752,2020-01-01T05:29:52,0,50.0
97057,-6.17003,106.74504,2020-01-01T06:01:45,0,50.0
97285,-6.26902,106.8785,2020-01-01T06:50:51,0,150.0
97295,-6.23493,106.89135,2020-01-01T07:06:24,0,50.0
97296,-6.16707,106.86342,2020-01-01T07:20:31,0,30.0
98505,-6.2649,106.85902,2020-01-01T10:29:21,0,41.0
98548,-6.31112,106.78829,2020-01-01T10:42:40,0,100.0
98595,-6.30194,106.78974,2020-01-01T10:55:57,0,57.0
98653,-6.1638,106.78831,2020-01-01T11:28:43,0,112.0
98654,-6.16397,106.78905,2020-01-01T11:32:26,0,114.0
98655,-6.17746,106.76774,2020-01-01T11:52:37,0,54.0
98656,-6.14984,106.78175,2020-01-01T11:56:30,0,65.0
98730,-6.16438,106.77093,2020-01-01T12:43:47,0,74.0
98735,-6.24458,106.76796,2020-01-01T12:46:01,0,171.0
98851,-6.17703,106.75442,2020-01-01T13:33:10,0,94.0
98910,-6.17977,106.74994,2020-01-01T14:38:59,0,114.0
98911,-6.17535,106.77877,2020-01-01T14:56:37,0,76.0
98912,-6.16376,106.83563,2020-01-01T15:14:07,0,50.0
99005,-6.16456,106.72097,2020-01-01T16:30:01,0,80.0
99016,-6.29501,106.82946,2020-01-01T16:31:16,0,74.0
99173,-6.26968,106.83496,2020-01-01T17:07:22,0,48.0
99230,-6.26655,106.77001,2020-01-01T18:08:07,0,94.0
99231,-6.20862,106.76472,2020-01-01T19:03:41,0,24.0
99232,-6.15691,106.83639,2020-01-01T19:09:34,0,45.0
99233,-6.15854,106.83152,2020-01-01T19:10:47,0,47.0
99234,-6.1872,106.75816,2020-01-01T20:33:56,0,99.0
99235,-6.16827,106.77038,2020-01-01T23:00:59,0,122.0
99237,-6.13803,106.78084,2020-01-01T23:08:22,0,56.0
99238,-6.24717,106.87852,2020-01-01T23:49:05,0,20.0
100015,-6.20854,106.76469,2020-01-02T04:43:30,0,48.0
100056,-6.27878,106.76359,2020-01-02T04:46:15,0,50.0
100087,-6.18806,106.75578,2020-01-02T04:46:42,0,45.0
100197,-6.13735,106.73306,2020-01-02T05:16:20,0,50.0
100226,-6.17334,106.73851,2020-01-02T05:39:19,0,50.0
100227,-6.16929,106.76572,2020-01-02T05:39:06,0,70.0
